att_prob= [0.21280237006399999, 0.78719762993599995]
att_count= [14797L, 54737L]
id: 5 	ans: 1 	result: True 	สวัสดีครับ วันนี้ผมมีความสุขมากเลย
id: 6 	ans: -1 	result: True 	วันนี้ช่างแย่จริงๆเลย
id: 7 	ans: 1 	result: False 	สวัสดีวันปีใหม่ สงกรานต์ปีนี้เงียบเหงา คนกรุงไม่ได้เล่นน้ำเพราะกลัวพวกโจรกบฎเสื้อแดง หดหู่จริงๆ #welovethai
id: 8 	ans: -1 	result: True 	@tl2inooo: เพราะเสื้อแดง จึงไม่ได้ไปเล่น สงกรานต์ ยังมีหน้ามาบอกจะมาเล่นกับคนกรุง อีควาย กูไม่เล่นกับมึง #WeLoveThai #redmarch
id: 9 	ans: -1 	result: True 	@kru_bannok ถ้าเสื้อแดงรู้ว่าการชุมนุมอย่างสงบไม่ทำร้ายผู้อื่นเป็นอย่างไร คงไม่เกิดเหตุนี้ #WeLoveThai #RedTweet
id: 10 	ans: -1 	result: True 	@AtLastIFound: @tl2inooo แดงเชื่อว่าทำร้ายรถ ขีดรอบคัน ทุบกระจกรถผู้ไม่เห็นด้วยคือ..อารยะขัดขืนตามกรอบประชาธิปไตย #WeLoveThai/โง่และบ้า!
id: 11 	ans: -1 	result: True 	เศษแดงมันคนบ้า ใครจะรู้ว่าคนบ้ากล้าทำอะไรบ้าง กล้าฆ่าคนเพียงเพื่อให้ได้สิ่งที่ตนต้องการ #WeLoveThai #RedTweet
id: 12 	ans: 1 	result: True 	สวัสดีปีใหม่ไทย สุขสันต์วันสงกรานต์ทุกท่านครับ #redtweet #welovethai #weloveking
id: 13 	ans: -1 	result: True 	งด สาดน้ำเสื้อแดง ครับ แนะ เอาขี้ไป สาดมันดีกว่า #WeloveThai #redmarch
id: 14 	ans: 1 	result: False 	ไม่ว่าจะสีไหนๆ ก็ไม่เคยทำให้พระองค์ทรงเป็นสุขซักนิด #WeLoveThai #WeLoveKing #Redshirt
id: 15 	ans: 1 	result: True 	สวัสดี วันสงกรานต์!!!! มีความสุขกันทุกคนครับ #thaifollow #welovethai
id: 16 	ans: 1 	result: True 	@nooporjai: @PimmieSW สวัสดีปีใหม่ไทยเช่นกันจ๊า :) ไม่เอาอ่า ไม่ชอบเปียก อิอิ //เอาโชคแล้วกันเนอะ   #Thaksindie #getoutPOK #WeLoveThai
id: 18 	ans: -1 	result: True 	เสื้อแดงไหนหละสาดเลือดแก้เคล็ดของพวกเอ็ง ดูไงก็แค่การสร้างความน่ารังเกลียด ตอนนี้ตายกี่ศพ #WeLoveThai #RedTweet
id: 19 	ans: 1 	result: False 	@boyzeedmaker สรุปคุณนั่นแหละที่เถียงคนอื่นโดยไม่ใช้ความคิด แล้วจะให้ผมเคารพความคิดอะไร เพราะคุณไม่ได้คิดนี่ #RedTweet #WeLoveThai
id: 20 	ans: 1 	result: False 	จ้าง มือที่ 3 มายิงกับ มือที่ 1 แถมลูกหลงไปโดนมือที่ 2 งามหน้านัก คุณแกนนำ  #WeloveThai #redmarch
id: 21 	ans: 1 	result: False 	ไม่ว่าจะสีไหน ๆ ก็ไม่เห็นจะทำอะไรเพื่อพระองค์ท่านเลยสักกะสี #WeLoveThai #WeLoveKing
id: 22 	ans: 1 	result: True 	กลับบ้าน มาสงกรานต์บ้านนอก คนแก่เข้าวัดทำบุญ คนเด็กเล่นสาดน้ำสนุกสนาน ความสุขใกล้ตัวครับ :) #welovethai #fb
id: 23 	ans: 1 	result: True 	เพราะโลกอยู่ได้ด้วยการให้ พระอาทิตย์ให้แสงสว่างต่อสรรพสัตว์ ฝนให้น้ำ การให้จึงงดงามและยิ่งใหญ่เสมอ เรามาให้อภัยซึ่งกันและกันคับ #welovethai
